saison,date,lieu,adversaire,buts_barca,buts_adversaire,resultat,tirs_barca,tirs_adversaire,tirs_cadres_barca,corners_barca,jaunes_barca,rouges_barca,arbitre
9899,1999-06-20,exterieur,Zaragoza,0,2,D,,,,,,,
9900,1999-08-22,domicile,Zaragoza,2,0,V,,,,,,,
9900,1999-08-29,exterieur,Santander,2,1,V,,,,,,,
9900,1999-09-11,domicile,Espanol,3,0,V,,,,,,,
9900,1999-09-18,exterieur,Alaves,1,2,D,,,,,,,
9900,1999-09-25,domicile,Betis,4,1,V,,,,,,,
9900,1999-10-02,exterieur,Valladolid,2,0,V,,,,,,,
9900,1999-10-13,domicile,Real Madrid,2,2,N,,,,,,,
9900,1999-10-16,exterieur,Numancia,3,3,N,,,,,,,
9900,1999-10-23,domicile,Ath Bilbao,4,0,V,,,,,,,
9900,1999-10-30,exterieur,La Coruna,1,2,D,,,,,,,
9900,1999-11-07,domicile,Malaga,1,2,D,,,,,,,
9900,1999-11-20,exterieur,Valencia,1,3,D,,,,,,,
9900,1999-11-28,exterieur,Mallorca,2,3,D,,,,,,,
9900,1999-12-04,domicile,Oviedo,3,2,V,,,,,,,
9900,1999-12-11,exterieur,Sevilla,2,3,D,,,,,,,
9900,1999-12-19,domicile,Ath Madrid,2,1,V,,,,,,,
9900,1999-12-22,exterieur,Vallecano,1,1,N,,,,,,,
9900,2000-01-05,domicile,Sociedad,3,1,V,,,,,,,
9900,2000-01-09,exterieur,Celta,2,0,V,,,,,,,
9900,2000-01-16,exterieur,Zaragoza,0,0,N,,,,,,,
9900,2000-01-23,domicile,Santander,1,0,V,,,,,,,
9900,2000-01-29,exterieur,Espanol,1,1,N,,,,,,,
9900,2000-02-06,domicile,Alaves,0,1,D,,,,,,,
9900,2000-02-13,exterieur,Betis,1,2,D,,,,,,,
9900,2000-02-20,domicile,Valladolid,4,0,V,,,,,,,
9900,2000-02-26,exterieur,Real Madrid,0,3,D,,,,,,,
